,Model,Val Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1,ROC-AUC
0,Logistic Regression,0.8185,0.8205,0.8321,0.8422,0.8371,0.9349
1,Random Forest,0.8112,0.8137,0.8287,0.832,0.8303,0.9309
