Conflict_Type,Cluster 0 (%),Cluster 1 (%)
Asymmetric War,45.300000000000004,54.7
Civil War,74.3,25.7
Interstate War,94.3,5.7
Interstate/Counter-insurgency,94.8,5.2
World War,94.39999999999999,5.6000000000000005
